"year","TaxonName","CommonName","fao_rgn","stock_id","TaxonKey","tons"
1950,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,77.045024
1951,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,77.529544
1952,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,78.021726
1953,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,78.521544
1954,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,79.029034
1955,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,79.544176
1956,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,80.066974
1957,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,36796.861414
1958,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,81.7283444
1959,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,82.8669116
1960,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,84.01315
1961,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,86.90231
1962,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,92.84897
1963,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,87.8077
1964,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,84.0252
1965,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,88.93994
1966,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,85.02385
1967,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,4392.8297
1968,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,1131.83202
1969,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,95.2635
1970,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,100.38766
1971,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,106.49267
1972,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,112.62404
1973,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,118.78174
1974,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,124.9658
1975,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,124.89722
1976,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,127.19663
1977,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,9615.16716
1978,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,3809.78361
1979,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,147.87794
1980,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,156.04296
1981,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,128.36749
1982,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,123.85325
1983,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,148.37904
1984,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,142.67227
1985,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,115.91814
1986,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,117.66408
1987,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,24294.45153
1988,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,17695.59324
1989,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,103.97113
1990,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,101.89009
1991,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,112.12651
1992,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,113.77361
1993,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,107.85894
1994,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,91.27289
1995,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,80.73679
1996,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,88.41098
1997,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,16908.68454
1998,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,21867.86905
1999,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,71.77962
2000,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,4154.472818
2001,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,2671.276694
2002,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,11318.07269
2003,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,9854.09945
2004,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,5025.005554
2005,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,2117.635195
2006,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,3133.416013
2007,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,5210.65819
2008,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,3737.913411
2009,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,3906.29968
2010,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,5997.79986
2011,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,5083.21269
2012,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,5585.43981
2013,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,4837.80298
2014,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,4542.197
2015,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,4946.823728
2016,"Ablennes hians","Flat needlefish",34,"Ablennes_hians-34",600972,4780.24217
