rgn_name,rgn_id,commodity,product,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,82,Agar agar nei,seaweeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0
Albania,82,Ornamental fish nei,ornamentals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,82,Z_TOTAL,ornamentals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,82,Z_TOTAL,seaweeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0
Algeria,84,Ornamental fish nei,ornamentals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,84,Z_TOTAL,ornamentals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,200,"Fish liver oils, nei",fish_oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0
Angola,200,Z_TOTAL,fish_oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0
Argentina,172,Agar agar nei,seaweeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,55,25,2,1,1,1,1,1,3,4,2,2,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,172,"Fish body oils, nei",fish_oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,39.825859351057375,29.290205621564837,57.46006722679624,65.95991284224988,46,44.88860538326503,0,0,0,0,34.088435294684245,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
Argentina,172,"Fish liver oils, nei",fish_oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,1,0,1,1,0,5,0,0,0,0,0,0,0,31,27,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Argentina,172,"Oils and fats of aquatic animals, nei",fish_oil,NA,20.060440677603893,0,58.28484658678721,0,0,0,47.29134157589548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,172,Ornamental fish nei,ornamentals,4.9874682962849874,7.590358536549331,7.477912968443036,7.365467400336712,17.6618090976512,6.688020296062291,5.217906823770647,4.2003493195408055,0,0,4.768124551345409,1,0,3.5256759109029474,1,8,1,11.6744570316514,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Argentina,172,Other seaweeds and aquatic plants and products thereof,seaweeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,0,0,0,0,52.17921526822868,0,49.61922385527715,18,1,0,59,42,88,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,172,Z_TOTAL,fish_oil,NA,20.060440677603893,0,58.28484658678721,0,0,0,47.29134157589548,0,0,0,1,80,39.825859351057375,30.290205621564837,57.46006722679624,66.95991284224988,47,44.88860538326503,5,0,0,0,34.088435294684245,96,0,0,31,27,5,2,0,0,0,0,0,0,0,0,1,0,0,67,0,0,0,0
Argentina,172,Z_TOTAL,ornamentals,4.9874682962849874,7.590358536549331,7.477912968443036,7.365467400336712,17.6618090976512,6.688020296062291,5.217906823770647,4.2003493195408055,0,0,4.768124551345409,1,0,3.5256759109029474,1,8,1,11.6744570316514,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Argentina,172,Z_TOTAL,seaweeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,0,49,55,25,54.17921526822868,1,50.61922385527715,19,2,1,62,46,90,2,89,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
