rgn_id,rgn_name,product,year,tonnes,usd,tonnes_orig,usd_orig,tonnes_peak,tonnes_rel
5,New Caledonia,ornamentals,1984,3,23,3,23,15.25,0.19672131147540983
5,New Caledonia,ornamentals,1985,1.5,11.5,0,0,15.25,0.09836065573770492
5,New Caledonia,ornamentals,1986,2,22.666666666666668,3,45,15.25,0.13114754098360656
5,New Caledonia,ornamentals,1987,2.75,32.5,5,62,15.25,0.18032786885245902
5,New Caledonia,ornamentals,1988,2,26.75,0,0,15.25,0.13114754098360656
5,New Caledonia,ornamentals,1989,2,26.75,0,0,15.25,0.13114754098360656
5,New Caledonia,ornamentals,1990,1.25,15.5,0,0,15.25,0.08196721311475409
5,New Caledonia,ornamentals,1991,0,0,0,0,15.25,0
5,New Caledonia,ornamentals,1992,0,0,0,0,15.25,0
5,New Caledonia,ornamentals,1993,0,0,0,0,15.25,0
5,New Caledonia,ornamentals,1994,0,0,0,0,15.25,0
5,New Caledonia,ornamentals,1995,0,0,0,0,15.25,0
5,New Caledonia,ornamentals,1996,0,0,0,0,15.25,0
5,New Caledonia,ornamentals,1997,1,3.6580856477932002,4,14.632342591172801,15.25,0.06557377049180328
5,New Caledonia,ornamentals,1998,2.25,7.438056017179036,5,15.119881477543345,15.25,0.14754098360655737
5,New Caledonia,ornamentals,1999,2.5,12.438056017179036,1,20,15.25,0.16393442622950818
5,New Caledonia,ornamentals,2000,4.25,36.438056017179036,7,96,15.25,0.2786885245901639
5,New Caledonia,ornamentals,2001,5,36.69280227672917,7,15.651327629373327,15.25,0.32786885245901637
5,New Caledonia,ornamentals,2002,4.75,54.66283190734333,4,87,15.25,0.3114754098360656
5,New Caledonia,ornamentals,2003,5.75,52.88826275059037,5,12.901723372988158,15.25,0.3770491803278688
5,New Caledonia,ornamentals,2004,5.25,32.00278568860966,5,12.458091752077166,15.25,0.3442622950819672
5,New Caledonia,ornamentals,2005,4.5,30.860776187237462,4,11.083289623884525,15.25,0.29508196721311475
5,New Caledonia,ornamentals,2006,4.25,11.537898061160462,3,9.708487495691998,15.25,0.2786885245901639
5,New Caledonia,ornamentals,2007,4,10.86147381342903,4,10.196026382062428,15.25,0.26229508196721313
5,New Caledonia,ornamentals,2008,3.75,10.185049565697597,4,9.752394761151436,15.25,0.2459016393442623
5,New Caledonia,ornamentals,2009,3.5,9.508625317966192,3,8.377592632958908,15.25,0.22950819672131148
5,New Caledonia,ornamentals,2010,4.25,9.763371577516295,6,10.72747253389241,15.25,0.2786885245901639
5,New Caledonia,ornamentals,2011,4.75,9.785325210246043,6,10.283840912981418,15.25,0.3114754098360656
5,New Caledonia,ornamentals,2012,8,12.367997737999985,17,20.083084872167206,15.25,0.5245901639344263
5,New Caledonia,ornamentals,2013,11,14.717877638933544,15,17.777112236693142,15.25,0.7213114754098361
5,New Caledonia,ornamentals,2014,13.25,40.33682265459714,15,113.2032525965468,15.25,0.8688524590163934
5,New Caledonia,ornamentals,2015,15.25,55.9139874683743,14,72.59250016809006,15.25,1
5,New Caledonia,ornamentals,2016,14.25,67.26914608521514,13,65.50371933953056,15.25,0.9344262295081968
5,New Caledonia,ornamentals,2017,11.5,67.70057425368157,4,19.502824910558843,15.25,0.7540983606557377
5,New Caledonia,ornamentals,2018,8.5,43.003272125044674,3,14.414044081999236,15.25,0.5573770491803278
5,New Caledonia,ornamentals,2019,5,24.85514708302216,0,0,15.25,0.32786885245901637
5,New Caledonia,ornamentals,2020,1.75,8.47921724813952,0,0,15.25,0.11475409836065574
5,New Caledonia,ornamentals,2021,0.75,3.603511020499809,0,0,15.25,0.04918032786885246
5,New Caledonia,ornamentals,2022,0,0,0,0,15.25,0
7,Solomon Islands,ornamentals,1996,18.251706627935334,50,18.251706627935334,50,39.75,0.459162430891455
7,Solomon Islands,ornamentals,1997,12.948622743212894,36,7.645538858490454,22,39.75,0.32575151555252563
7,Solomon Islands,ornamentals,1998,13.020661950751938,36,13.164740365830028,36,39.75,0.3275638226604261
7,Solomon Islands,ornamentals,1999,14.340497590423112,39.25,18.300004509436633,49,39.75,0.36076723497919777
7,Solomon Islands,ornamentals,2000,9.9733119816389,27.5,0.7829641927984881,3,39.75,0.2509009303556956
7,Solomon Islands,ornamentals,2001,8.061927267016287,22,0,0,39.75,0.20281578030229652
7,Solomon Islands,ornamentals,2002,15.02074217555878,23.75,41,43,39.75,0.37788030630336555
7,Solomon Islands,ornamentals,2003,23.945741048199622,25.25,54,55,39.75,0.6024085798289213
7,Solomon Islands,ornamentals,2004,30.136832942071877,41,25.547331768287506,66,39.75,0.7581593192974057
7,Solomon Islands,ornamentals,2005,37.231575874445966,59.25,28.378971729496357,73,39.75,0.9366434182250557
7,Solomon Islands,ornamentals,2006,36.31997825205411,72.5,37.35360951043259,96,39.75,0.9137101447057638
7,Solomon Islands,ornamentals,2007,22.819978252054113,58.75,0,0,39.75,0.57408750319633
7,Solomon Islands,ornamentals,2008,33.68314530998224,59.25,69,68,39.75,0.8473747247794273
7,Solomon Islands,ornamentals,2009,38.58840237760815,49.5,48,34,39.75,0.9707774183046075
7,Solomon Islands,ornamentals,2010,39.75,34.5,42,36,39.75,1
7,Solomon Islands,ornamentals,2011,39.75,34.5,0,0,39.75,1
7,Solomon Islands,ornamentals,2012,22.5,17.5,0,0,39.75,0.5660377358490566
7,Solomon Islands,ornamentals,2013,10.5,9,0,0,39.75,0.2641509433962264
7,Solomon Islands,ornamentals,2014,0,0,0,0,39.75,0
7,Solomon Islands,ornamentals,2015,0,0,0,0,39.75,0
7,Solomon Islands,ornamentals,2016,0,0,0,0,39.75,0
7,Solomon Islands,ornamentals,2017,0,0,0,0,39.75,0
7,Solomon Islands,ornamentals,2018,0,0,0,0,39.75,0
7,Solomon Islands,ornamentals,2019,0,0,0,0,39.75,0
7,Solomon Islands,ornamentals,2020,0,0,0,0,39.75,0
7,Solomon Islands,ornamentals,2021,0,0,0,0,39.75,0
7,Solomon Islands,ornamentals,2022,0,0,0,0,39.75,0
8,Palau,ornamentals,2013,1.254377230686785,8,1.254377230686785,8,2.775027621606098,0.4520233315590536
8,Palau,ornamentals,2014,0.6271886153433925,4,0,0,2.775027621606098,0.2260116657795268
8,Palau,ornamentals,2015,0.7848292390370588,5,1.1001104864243914,7,2.775027621606098,0.2828185323008874
8,Palau,ornamentals,2016,1.088621929277794,6.25,2,10,2.775027621606098,0.3922922859584851
8,Palau,ornamentals,2017,1.2750276216060978,4.75,2,2,2.775027621606098,0.4594648398015413
8,Palau,ornamentals,2018,2.775027621606098,15.75,6,44,2.775027621606098,1
8,Palau,ornamentals,2019,2.5,14,0,0,2.775027621606098,0.9008919336640979
8,Palau,ornamentals,2020,2,11.5,0,0,2.775027621606098,0.7207135469312783
8,Palau,ornamentals,2021,1.5,11,0,0,2.775027621606098,0.5405351601984587
8,Palau,ornamentals,2022,0,0,0,0,2.775027621606098,0
9,Micronesia,ornamentals,1996,0,0,0,0,4,0
9,Micronesia,ornamentals,1997,0,0,0,0,4,0
9,Micronesia,ornamentals,1998,0.3333333333333333,1.5800708101932674,1,4.740212430579803,4,0.08333333333333333
9,Micronesia,ornamentals,1999,2.25,13.297940074048316,8,48.45154786561346,4,0.5625
9,Micronesia,ornamentals,2000,3.5,20.750043530856562,5,29.808413827232982,4,0.875
9,Micronesia,ornamentals,2001,4,21.500043530856562,2,3,4,1
9,Micronesia,ornamentals,2002,3.8718564382555365,20.81499042321161,0.48742575302214597,2,4,0.9679641095638841
9,Micronesia,ornamentals,2003,1.8718564382555365,8.702103456808246,0,0,4,0.4679641095638841
9,Micronesia,ornamentals,2004,0.6218564382555365,1.25,0,0,4,0.15546410956388412
9,Micronesia,ornamentals,2005,0.30877512999696455,1.5,0.7476747669657122,4,4,0.07719378249924114
9,Micronesia,ornamentals,2006,0.18691869174142806,1,0,0,4,0.046729672935357014
9,Micronesia,ornamentals,2007,0.18691869174142806,1,0,0,4,0.046729672935357014
