rgn_id,product,year,tonnes,usd,level,georgn_id,georgn_values,global_values,values,values_final,values_gf_description,values_gf
1,seaweeds,2018,NA,NA,r2,53,10.143539812628127,10.012575940433832,NA,10.143539812628127,geo_region,1
1,seaweeds,2019,NA,NA,r2,53,11.787004381653329,15.869919612389543,NA,11.787004381653329,geo_region,1
1,seaweeds,2020,NA,NA,r2,53,14.720871225999414,11.681599057984746,NA,14.720871225999414,geo_region,1
1,seaweeds,2021,NA,NA,r2,53,17.101254897840988,18.024005860201346,NA,17.101254897840988,geo_region,1
1,seaweeds,2022,NA,NA,r2,53,14.014046204001941,11.09554805329505,NA,14.014046204001941,geo_region,1
1,ornamentals,2018,NA,NA,r2,53,5.4256044362145435,38531.39513984439,NA,5.4256044362145435,geo_region,1
1,ornamentals,2019,NA,NA,r2,53,19.448512797054242,478.7129414868993,NA,19.448512797054242,geo_region,1
1,ornamentals,2020,NA,NA,r2,53,19.964153359669556,274.1581294501244,NA,19.964153359669556,geo_region,1
1,ornamentals,2021,NA,NA,r2,53,23.445751663890185,349.8919791221881,NA,23.445751663890185,geo_region,1
1,ornamentals,2022,NA,NA,r2,53,28.218543046357617,465.0671958020857,NA,28.218543046357617,geo_region,1
1,fish_oil,2018,NA,NA,r2,53,2.2833393915708022,3.563837514887609,NA,2.2833393915708022,geo_region,1
1,fish_oil,2019,NA,NA,r2,53,2.45584267463423,3.3202593584285816,NA,2.45584267463423,geo_region,1
1,fish_oil,2020,NA,NA,r2,53,2.555594828739243,4.540713190074931,NA,2.555594828739243,geo_region,1
1,fish_oil,2021,NA,NA,r2,53,2.862192299235069,3.48007393854607,NA,2.862192299235069,geo_region,1
1,fish_oil,2022,NA,NA,r2,53,3.0210339730264915,8.317722669144743,NA,3.0210339730264915,geo_region,1
2,seaweeds,2018,NA,NA,r2,53,10.143539812628127,10.012575940433832,NA,10.143539812628127,geo_region,1
2,seaweeds,2019,NA,NA,r2,53,11.787004381653329,15.869919612389543,NA,11.787004381653329,geo_region,1
2,seaweeds,2020,NA,NA,r2,53,14.720871225999414,11.681599057984746,NA,14.720871225999414,geo_region,1
2,seaweeds,2021,NA,NA,r2,53,17.101254897840988,18.024005860201346,NA,17.101254897840988,geo_region,1
2,seaweeds,2022,NA,NA,r2,53,14.014046204001941,11.09554805329505,NA,14.014046204001941,geo_region,1
2,ornamentals,2018,NA,NA,r2,53,5.4256044362145435,38531.39513984439,NA,5.4256044362145435,geo_region,1
2,ornamentals,2019,NA,NA,r2,53,19.448512797054242,478.7129414868993,NA,19.448512797054242,geo_region,1
2,ornamentals,2020,NA,NA,r2,53,19.964153359669556,274.1581294501244,NA,19.964153359669556,geo_region,1
2,ornamentals,2021,NA,NA,r2,53,23.445751663890185,349.8919791221881,NA,23.445751663890185,geo_region,1
2,ornamentals,2022,NA,NA,r2,53,28.218543046357617,465.0671958020857,NA,28.218543046357617,geo_region,1
2,fish_oil,2018,NA,NA,r2,53,2.2833393915708022,3.563837514887609,NA,2.2833393915708022,geo_region,1
2,fish_oil,2019,NA,NA,r2,53,2.45584267463423,3.3202593584285816,NA,2.45584267463423,geo_region,1
2,fish_oil,2020,NA,NA,r2,53,2.555594828739243,4.540713190074931,NA,2.555594828739243,geo_region,1
2,fish_oil,2021,NA,NA,r2,53,2.862192299235069,3.48007393854607,NA,2.862192299235069,geo_region,1
2,fish_oil,2022,NA,NA,r2,53,3.0210339730264915,8.317722669144743,NA,3.0210339730264915,geo_region,1
3,seaweeds,2018,NA,NA,r2,53,10.143539812628127,10.012575940433832,NA,10.143539812628127,geo_region,1
3,seaweeds,2019,NA,NA,r2,53,11.787004381653329,15.869919612389543,NA,11.787004381653329,geo_region,1
3,seaweeds,2020,NA,NA,r2,53,14.720871225999414,11.681599057984746,NA,14.720871225999414,geo_region,1
3,seaweeds,2021,NA,NA,r2,53,17.101254897840988,18.024005860201346,NA,17.101254897840988,geo_region,1
3,seaweeds,2022,NA,NA,r2,53,14.014046204001941,11.09554805329505,NA,14.014046204001941,geo_region,1
3,ornamentals,2018,NA,NA,r2,53,5.4256044362145435,38531.39513984439,NA,5.4256044362145435,geo_region,1
3,ornamentals,2019,NA,NA,r2,53,19.448512797054242,478.7129414868993,NA,19.448512797054242,geo_region,1
3,ornamentals,2020,NA,NA,r2,53,19.964153359669556,274.1581294501244,NA,19.964153359669556,geo_region,1
3,ornamentals,2021,NA,NA,r2,53,23.445751663890185,349.8919791221881,NA,23.445751663890185,geo_region,1
3,ornamentals,2022,NA,NA,r2,53,28.218543046357617,465.0671958020857,NA,28.218543046357617,geo_region,1
3,fish_oil,2018,NA,NA,r2,53,2.2833393915708022,3.563837514887609,NA,2.2833393915708022,geo_region,1
3,fish_oil,2019,NA,NA,r2,53,2.45584267463423,3.3202593584285816,NA,2.45584267463423,geo_region,1
3,fish_oil,2020,NA,NA,r2,53,2.555594828739243,4.540713190074931,NA,2.555594828739243,geo_region,1
3,fish_oil,2021,NA,NA,r2,53,2.862192299235069,3.48007393854607,NA,2.862192299235069,geo_region,1
