rgn_id,admin_country_name,year,value,labor_force_total,cf_prop_percent
4,Australia,2009,28000,11475357,0.24400112345088695
4,Australia,2010,26000,11664763,0.22289351271003108
4,Australia,2011,26000,11845859,0.21948598240110742
4,Australia,2012,28000,12009987,0.23313930314828815
4,Australia,2013,24000,12180641,0.1970339656180656
4,Australia,2014,22000,12320167,0.1785690080337385
4,Australia,2015,22000,12556446,0.17520881306700956
4,Australia,2016,20000,12730379,0.15710451354197702
4,Australia,2017,20000,13007821,0.15375365328289803
4,Australia,2018,22000,13308589,0.16530678045583946
4,Australia,2019,20000,13587463,0.1471945130595756
4,Australia,2020,20000,13587001,0.14719951812765744
4,Australia,2021,20000,13806208,0.14486236916030817
15,Philippines,2009,3967040,37171260,10.672331258074113
15,Philippines,2010,3976870,38081598,10.443022900457066
15,Philippines,2011,3976870,39490704,10.070395301132134
15,Philippines,2012,3976870,40075145,9.923532403937653
15,Philippines,2013,3976870,40789298,9.749787799731195
15,Philippines,2014,3976870,42179845,9.428365609214543
15,Philippines,2015,3976870,42622144,9.330525465823587
15,Philippines,2016,3976870,43756699,9.088596925467343
15,Philippines,2017,3976870,42974771,9.25396437830931
15,Philippines,2018,3976870,43800369,9.07953538016997
15,Philippines,2019,3976870,45091808,8.819495550056454
15,Philippines,2020,3976870,42419079,9.375191762178524
15,Philippines,2021,3809276,44606252,8.53978047740931
16,Australia,2009,28000,11475357,0.24400112345088695
16,Australia,2010,26000,11664763,0.22289351271003108
16,Australia,2011,26000,11845859,0.21948598240110742
16,Australia,2012,28000,12009987,0.23313930314828815
16,Australia,2013,24000,12180641,0.1970339656180656
16,Australia,2014,22000,12320167,0.1785690080337385
16,Australia,2015,22000,12556446,0.17520881306700956
16,Australia,2016,20000,12730379,0.15710451354197702
16,Australia,2017,20000,13007821,0.15375365328289803
16,Australia,2018,22000,13308589,0.16530678045583946
16,Australia,2019,20000,13587463,0.1471945130595756
16,Australia,2020,20000,13587001,0.14719951812765744
16,Australia,2021,20000,13806208,0.14486236916030817
20,South Korea,2009,274834,25091241,1.095338409128508
20,South Korea,2010,276576,25419751,1.088035834812072
20,South Korea,2011,255038,25870939,0.9858088258798801
20,South Korea,2012,246640,26269374,0.9388879993866622
20,South Korea,2013,236854,26634430,0.8892775253684797
20,South Korea,2014,228618,27387622,0.8347493623214165
20,South Korea,2015,210622,27788180,0.757955360876459
20,South Korea,2016,200592,28041851,0.7153308103662629
20,South Korea,2017,196456,28349693,0.6929739944626561
20,South Korea,2018,181456,28513895,0.6363774573764825
20,South Korea,2019,177070,28808833,0.6146378785978592
20,South Korea,2020,170868,28597159,0.5974999124913073
20,South Korea,2021,165162,28772631,0.574024669485387
25,Thailand,2009,76750,39613757,0.1937458242095038
25,Thailand,2010,76696,39447288,0.19442654714311414
25,Thailand,2011,76692,40871917,0.1876398408227341
25,Thailand,2012,76658,41198445,0.1860701295886289
25,Thailand,2013,76610,40085032,0.1911187198253952
25,Thailand,2014,76472,40209226,0.19018520774311845
25,Thailand,2015,76482,40201742,0.19024548737216412
25,Thailand,2016,76458,39942542,0.1914199652090245
25,Thailand,2017,76340,39798925,0.19181422613801755
25,Thailand,2018,75274,40229448,0.18711168992425647
25,Thailand,2019,75824,39952396,0.18978586415693316
25,Thailand,2020,211616,40206906,0.5263175435583132
25,Thailand,2021,229132,40356693,0.5677670368084917
26,India,2009,16842810,459168942,3.668107413066278
26,India,2010,18877878,468646281,4.0281719423267965
26,India,2011,16276882,472419461,3.4454300348985836
26,India,2012,18154578,476025371,3.813783698516355
26,India,2013,16336596,483634725,3.377879038772495
26,India,2014,16336596,490933119,3.327662234985617
26,India,2015,16336596,497800426,3.281756130919824
26,India,2016,16336596,504122684,3.2405992665071186
26,India,2017,16336596,510055221,3.202907318147029
26,India,2018,16336596,515366255,3.169900210094276
26,India,2019,16336596,520273563,3.140001176650215
26,India,2020,16336596,520521842,3.13850345592222
26,India,2021,16336596,535026237,3.0534196026726814
55,Portugal,2009,38702,5490080,0.7049441902485939
55,Portugal,2010,33840,5491635,0.6162099265519285
55,Portugal,2011,32804,5428758,0.6042634429458819
55,Portugal,2012,33118,5385170,0.6149852279500926
55,Portugal,2013,33594,5289169,0.6351470334942975
55,Portugal,2014,33558,5231791,0.6414247052300063
55,Portugal,2015,34380,5204013,0.660644006846255
55,Portugal,2016,34570,5187357,0.66642800948537
55,Portugal,2017,35284,5226891,0.6750475569511589
55,Portugal,2018,30298,5242420,0.5779391960201586
55,Portugal,2019,28238,5264058,0.5364302596969867
55,Portugal,2020,27928,5166305,0.5405797760681957
55,Portugal,2021,27290,5190888,0.5257289311578288
57,Portugal,2009,38702,5490080,0.7049441902485939
57,Portugal,2010,33840,5491635,0.6162099265519285
57,Portugal,2011,32804,5428758,0.6042634429458819
57,Portugal,2012,33118,5385170,0.6149852279500926
57,Portugal,2013,33594,5289169,0.6351470334942975
57,Portugal,2014,33558,5231791,0.6414247052300063
57,Portugal,2015,34380,5204013,0.660644006846255
57,Portugal,2016,34570,5187357,0.66642800948537
57,Portugal,2017,35284,5226891,0.6750475569511589
57,Portugal,2018,30298,5242420,0.5779391960201586
57,Portugal,2019,28238,5264058,0.5364302596969867
57,Portugal,2020,27928,5166305,0.5405797760681957
57,Portugal,2021,27290,5190888,0.5257289311578288
58,Spain,2009,78110,23364217,0.33431464876396244
58,Spain,2010,82124,23482007,0.349731605139203
58,Spain,2011,73818,23558862,0.31333431979863885
58,Spain,2012,71344,23569775,0.3026927495065184
58,Spain,2013,68058,23332032,0.29169341101538004
