zone,human_count_2000_mol,human_count_2001_mol,human_count_2002_mol,human_count_2003_mol,human_count_2004_mol,human_count_2005_mol,human_count_2006_mol,human_count_2007_mol,human_count_2008_mol,human_count_2009_mol,human_count_2010_mol,human_count_2011_mol,human_count_2012_mol,human_count_2013_mol,human_count_2014_mol,human_count_2015_mol,human_count_2016_mol,human_count_2017_mol,human_count_2018_mol,human_count_2019_mol,human_count_2020_mol
1,4101.734471946955,4151.306577026844,4200.878799825907,4250.450965464115,4300.023122936487,4349.59527951479,4430.046568125486,4510.497813791037,4590.949220716953,4671.400509774685,4751.851729750633,4828.668696522713,4905.485737204552,4982.302900850773,5059.119902014732,5135.937059521675,5205.056013584137,5274.174792647362,5343.2936108112335,5412.412371277809,5481.531418323517
2,3376.8036932349205,3418.680448103696,3460.5571517907083,3502.4339329078794,3544.310593046248,3586.187380246818,3653.684574827552,3721.1817518398166,3788.678908675909,3856.1759753748775,3923.673284739256,3988.364461876452,4053.0556632876396,4117.746827699244,4182.438039876521,4247.129199020565,4305.635677553713,4364.142266206443,4422.6487528681755,4481.155385993421,4539.661824390292
3,3617.564926147461,3616.2364463806152,3614.907917022705,3613.5793113708496,3612.250831604004,3610.922161102295,3631.3859100341797,3651.849540710449,3672.3132553100586,3692.7768745422363,3713.2405967712402,3726.137519836426,3739.03458404541,3751.9316902160645,3764.828742980957,3777.725715637207,3781.218288421631,3784.7107543945312,3788.2033081054688,3791.6957664489746,3795.188461303711
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,350734.18720411137,356948.7603955865,363163.3370167501,369377.908253368,375592.47046020627,381807.04968125746,387288.8498477414,392770.6529848464,398252.44251992553,403734.2454746552,409216.04295111075,413945.6163064018,418675.1764208749,423404.73946259916,428134.30546906963,432863.8827254288,436992.990619041,441122.0937603861,445251.20859846845,449380.30747942254,453509.42903535813
6,269978.4196275634,276941.37982556253,283904.3408188481,290867.3031292452,297830.26381971966,304793.22512933775,312484.3642511518,320175.5042218248,327866.64278519957,335557.7832135902,343248.92238697765,351323.1709403589,359397.41780609713,367471.66804640426,375545.91622232617,383620.1643114401,391977.6701698606,400335.1787390825,408692.6857482066,417050.1910489521,425407.6984175353
7,805988.4999311436,825569.1902530529,845149.8803213891,864730.5743878111,884311.2654318679,903891.9572869968,922731.1555150896,941570.3591785897,960409.5661956351,979248.7662241459,998087.9682998676,1016421.8956739698,1034755.829278389,1053089.7585559506,1071423.6883266512,1089757.6221962739,1107024.7845416535,1124291.9545920081,1141559.1201573499,1158826.2922265716,1176093.4538309183
8,65986.52269101143,66098.86709833145,66211.20878148079,66323.55195903778,66435.89351463318,66548.23784255981,66401.63496613503,66255.03171443939,66108.42469382286,65961.82099914551,65815.21826481819,65692.69327950478,65570.1701862812,65447.647943258286,65325.12327551842,65202.598247766495,65162.94622206688,65123.29537820816,65083.64343559742,65043.99167251587,65004.338386654854
9,406316.588935107,403586.1236476898,400855.6580771208,398125.19278401136,395394.726072371,392664.2615685463,389629.3615215719,386594.462931782,383559.56421363354,380524.6638650894,377489.7658877522,377608.23989899457,377726.7153123915,377845.18854524195,377963.6627922207,378082.1372694075,380725.6210016608,383369.1068557054,386012.5910663605,388656.0759911239,391299.56038300693
10,19246.32417678833,19215.02280807495,19183.721267700195,19152.41982650757,19121.118133544922,19089.816665649414,19005.535984039307,18921.254665374756,18836.973705291748,18752.6925239563,18668.411361694336,18699.137630462646,18729.86382293701,18760.590091705322,18791.316276550293,18822.042373657227,18855.037212371826,18888.031703948975,18921.026069641113,18954.020595550537,18987.015186309814
