rgn_id,rgn_name,score,sr
163,United States,5.24,0.8480000000000001
182,Spain,5.18,0.836
210,Japan,5.09,0.818
179,France,5.07,0.8140000000000001
16,Australia,5,0.8
176,Germany,5,0.8
180,United Kingdom,4.96,0.792
209,China,4.94,0.788
184,Italy,4.9,0.78
218,Canada,4.81,0.7619999999999999
183,Portugal,4.78,0.756
208,Singapore,4.76,0.752
20,South Korea,4.74,0.748
177,Netherlands,4.64,0.728
175,Denmark,4.63,0.726
54,United Arab Emirates,4.62,0.724
222,Sweden,4.57,0.7140000000000001
174,Finland,4.52,0.704
80,Greece,4.52,0.704
216,Indonesia,4.46,0.692
59,Belgium,4.45,0.6900000000000001
181,Ireland,4.44,0.6880000000000001
162,New Zealand,4.41,0.682
171,Brazil,4.41,0.682
178,Poland,4.4,0.68
76,Turkey,4.39,0.6779999999999999
81,Cyprus,4.37,0.674
224,Chile,4.33,0.666
143,Iceland,4.32,0.664
68,Malta,4.3,0.6599999999999999
206,Malaysia,4.28,0.656
70,Estonia,4.28,0.656
135,Mexico,4.26,0.6519999999999999
203,India,4.25,0.65
71,Bulgaria,4.25,0.65
50,Saudi Arabia,4.23,0.6460000000000001
188,Slovenia,4.22,0.6439999999999999
72,Romania,4.19,0.6380000000000001
189,Lithuania,4.17,0.634
74,Georgia,4.14,0.6279999999999999
187,Croatia,4.13,0.626
25,Thailand,4.12,0.624
79,Israel,4.1,0.6199999999999999
172,Argentina,4.1,0.6199999999999999
132,Colombia,4.08,0.616
130,Costa Rica,4.08,0.616
190,Qatar,4.02,0.6039999999999999
102,South Africa,3.99,0.5980000000000001
37,Mauritius,3.98,0.596
52,Bahrain,3.96,0.592
207,Vietnam,3.96,0.592
186,Montenegro,3.96,0.592
214,Egypt,3.96,0.592
138,Peru,3.9,0.58
129,Panama,3.9,0.58
115,Dominican Republic,3.88,0.576
69,Latvia,3.88,0.576
82,Albania,3.87,0.5740000000000001
48,Oman,3.87,0.5740000000000001
15,Philippines,3.84,0.568
215,Jordan,3.81,0.562
173,Uruguay,3.79,0.558
191,Iran,3.72,0.544
124,Barbados,3.71,0.542
40,Sri Lanka,3.69,0.538
43,Kenya,3.68,0.536
78,Lebanon,3.66,0.532
137,Ecuador,3.66,0.532
202,Tanzania,3.65,0.53
62,Morocco,3.64,0.528
61,Tunisia,3.6,0.52
166,Jamaica,3.59,0.518
24,Cambodia,3.57,0.514
126,Trinidad and Tobago,3.52,0.504
232,Bosnia and Herzegovina,3.51,0.502
101,Namibia,3.45,0.49000000000000005
51,Kuwait,3.44,0.488
134,El Salvador,3.43,0.48600000000000004
84,Algeria,3.42,0.484
136,Guatemala,3.42,0.484
53,Pakistan,3.41,0.48200000000000004
139,Venezuela,3.34,0.46799999999999997
106,Ghana,3.28,0.45599999999999996
66,Senegal,3.24,0.44800000000000006
131,Nicaragua,3.24,0.44800000000000006
204,Bangladesh,3.19,0.438
133,Honduras,3.19,0.438
196,Nigeria,3.18,0.43600000000000005
99,Benin,3.16,0.43200000000000005
195,Ivory Coast,3.13,0.426
200,Angola,3.05,0.41
197,Cameroon,2.99,0.398
96,Sierra Leone,2.89,0.378
