forage_fish,inWatson,TaxonKey,rgn_id,fao_id,stock_id,year,catch,catch_human,catch_fish_feed
Acanthuridae,yes,400412,6,71,Acanthuridae-71,1950,32.26957,3.2269570000000005,29.042613000000003
Acanthuridae,yes,400412,6,81,Acanthuridae-81,1950,0.9712098,0.09712098000000001,0.87408882
Acanthuridae,yes,400412,8,71,Acanthuridae-71,1950,53.470427,5.3470427,48.123384300000005
Acanthuridae,yes,400412,9,71,Acanthuridae-71,1950,1.5201186105,0.15201186105,1.36810674945
Acanthuridae,yes,400412,11,71,Acanthuridae-71,1950,14.433587,1.4433587,12.9902283
Acanthuridae,yes,400412,12,61,Acanthuridae-61,1950,0.02130335702,0.002130335702,0.019173021318
Acanthuridae,yes,400412,12,71,Acanthuridae-71,1950,0.033476786780000004,0.0033476786780000005,0.030129108102000004
Acanthuridae,yes,400412,13,61,Acanthuridae-61,1950,13.052475,1.3052475000000001,11.7472275
Acanthuridae,yes,400412,13,71,Acanthuridae-71,1950,127.28958300000001,12.728958300000002,114.5606247
Acanthuridae,yes,400412,15,61,Acanthuridae-61,1950,34.093069232,3.4093069232,30.6837623088
Acanthuridae,yes,400412,15,71,Acanthuridae-71,1950,727.7040126,72.77040126000001,654.9336113400001
Acanthuridae,yes,400412,17,71,Acanthuridae-71,1950,910.2767,91.02767,819.2490300000001
Acanthuridae,yes,400412,18,71,Acanthuridae-71,1950,3068.606,306.86060000000003,2761.7454000000002
Acanthuridae,yes,400412,18,81,Acanthuridae-81,1950,1.896755,0.1896755,1.7070795
Acanthuridae,yes,400412,19,71,Acanthuridae-71,1950,5.908960704,0.5908960704,5.318064633600001
Acanthuridae,yes,400412,26,57,Acanthuridae-57,1950,11.87764,1.187764,10.689876
Acanthuridae,yes,400412,29,51,Acanthuridae-51,1950,0.542948838,0.054294883800000006,0.4886539542000001
Acanthuridae,yes,400412,31,51,Acanthuridae-51,1950,3.2938629,0.32938629,2.96447661
Acanthuridae,yes,400412,32,51,Acanthuridae-51,1950,18.044992,1.8044992000000002,16.240492800000002
Acanthuridae,yes,400412,37,51,Acanthuridae-51,1950,261.43666,26.143666000000003,235.29299400000002
Acanthuridae,yes,400412,40,57,Acanthuridae-57,1950,2543.029,254.30290000000002,2288.7261
